Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke];;;;
Sayı;Zaman;Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke]-avg[Wh];Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke]-min[Wh];Tüketilen Aktif Enerji Total Tariff Toplam L1-L3 (15m) [TR1_Sebeke]-max[Wh]
180;09.08.2019 12:15;14247519;14190600;14310600
181;09.08.2019 12:30;14372627;14313000;14434800
182;09.08.2019 12:45;14500582;14437200;14562600
183;09.08.2019 13:00;14629403;14565000;14694000
184;09.08.2019 13:15;14762210;14696400;14824200
185;09.08.2019 13:30;14888448;14826600;14953200
186;09.08.2019 13:45;15017878;14955600;15081600
187;09.08.2019 14:00;15143720;15084000;15208200
188;09.08.2019 14:15;15271254;15210600;15336600
189;09.08.2019 14:30;15399627;15336600;15462000
190;09.08.2019 14:45;15527315;15464400;15587400
191;09.08.2019 15:00;15653269;15592200;15720000
192;09.08.2019 15:15;15778675;15720000;15847800
193;09.08.2019 15:30;15912198;15847800;15971400
194;09.08.2019 15:45;16037003;15973800;16101000
195;09.08.2019 16:00;16163337;16101000;16225800
196;09.08.2019 16:15;16291695;16227600;16354200
197;09.08.2019 16:30;16417941;16356600;16479600
198;09.08.2019 16:45;16545054;16481400;16609200
199;09.08.2019 17:00;16674980;16614000;16737600
200;09.08.2019 17:15;16798944;16737600;16861800
201;09.08.2019 17:30;16925820;16863600;16986600
202;09.08.2019 17:45;17049634;16989000;17113800
203;09.08.2019 18:00;17178002;17116200;17238600
204;09.08.2019 18:15;17304684;17241000;17367000
205;09.08.2019 18:30;17430690;17368800;17491800
206;09.08.2019 18:45;17555608;17494200;17618400
207;09.08.2019 19:00;17680576;17623200;17745000
208;09.08.2019 19:15;17808566;17747400;17871000
209;09.08.2019 19:30;17937256;17872800;17997000
210;09.08.2019 19:45;18060630;17998800;18123600
211;09.08.2019 20:00;18189732;18126000;18247200
212;09.08.2019 20:15;18312622;18249600;18373800
213;09.08.2019 20:30;18439268;18376200;18497400
214;09.08.2019 20:45;18562594;18501600;18622800
215;09.08.2019 21:00;18686086;18624600;18746400
216;09.08.2019 21:15;18810910;18748800;18870600
217;09.08.2019 21:30;18933692;18874800;18991200
218;09.08.2019 21:45;19056376;18993000;19116600
219;09.08.2019 22:00;19179386;19118400;19237800
220;09.08.2019 22:15;19298810;19239600;19359000
221;09.08.2019 22:30;19419332;19360800;19475400
222;09.08.2019 22:45;19534364;19477800;19592400
223;09.08.2019 23:00;19646318;19594800;19692600
224;09.08.2019 23:15;19732028;19694400;19766400
225;09.08.2019 23:30;19800916;19767600;19834200
226;09.08.2019 23:45;19859550;19835400;19883400
227;10.08.2019 00:00;19904896;19884000;19923600
228;10.08.2019 00:15;19943922;19924200;19963200
229;10.08.2019 00:30;19982706;19964400;20001000
230;10.08.2019 00:45;20019826;20001000;20037600
231;10.08.2019 01:00;20056500;20038800;20074800
232;10.08.2019 01:15;20093916;20075400;20113200
233;10.08.2019 01:30;20132188;20113800;20150400
234;10.08.2019 01:45;20168228;20151000;20185200
235;10.08.2019 02:00;20202592;20185800;20220000
236;10.08.2019 02:15;20237562;20220000;20253600
237;10.08.2019 02:30;20270950;20254800;20287200
238;10.08.2019 02:45;20304696;20288400;20322600
239;10.08.2019 03:00;20338328;20322600;20352600
240;10.08.2019 03:15;20366650;20353200;20380200
241;10.08.2019 03:30;20394976;20380800;20409000
242;10.08.2019 03:45;20423502;20409600;20436000
243;10.08.2019 04:00;20449658;20436600;20463600
244;10.08.2019 04:15;20477102;20463600;20490600
245;10.08.2019 04:30;20506280;20491200;20521800
246;10.08.2019 04:45;20538122;20522400;20554200
247;10.08.2019 05:00;20569738;20554200;20584200
248;10.08.2019 05:15;20600578;20584800;20616000
249;10.08.2019 05:30;20634736;20616600;20650800
250;10.08.2019 05:45;20668554;20651400;20686200
251;10.08.2019 06:00;20704046;20686800;20721600
252;10.08.2019 06:15;20739278;20722200;20756400
253;10.08.2019 06:30;20774552;20757000;20791200
254;10.08.2019 06:45;20809244;20791800;20826000
255;10.08.2019 07:00;20843344;20826600;20859600
256;10.08.2019 07:15;20876900;20860200;20893200
257;10.08.2019 07:30;20909784;20893800;20926200
258;10.08.2019 07:45;20943572;20926800;20960400
259;10.08.2019 08:00;20979018;20961000;20997600
260;10.08.2019 08:15;21016372;20998200;21036600
261;10.08.2019 08:30;21059604;21036600;21082800
262;10.08.2019 08:45;21108162;21082800;21133800
263;10.08.2019 09:00;21161098;21134400;21186000
264;10.08.2019 09:15;21213566;21187200;21241800
265;10.08.2019 09:30;21272096;21243000;21303000
266;10.08.2019 09:45;21339410;21303600;21378000
267;10.08.2019 10:00;21423712;21379200;21469800
268;10.08.2019 10:15;21517070;21471000;21567000
269;10.08.2019 10:30;21621650;21568200;21676200
270;10.08.2019 10:45;21738166;21680400;21795000
271;10.08.2019 11:00;21856904;21797400;21917400
272;10.08.2019 11:15;21977092;21919200;22041000
273;10.08.2019 11:30;22102458;22041000;22167000
274;10.08.2019 11:45;22231768;22169400;22296000
275;10.08.2019 12:00;22362346;22298400;22429200
276;10.08.2019 12:15;22496474;22431600;22558800
277;10.08.2019 12:30;22627964;22561200;22690800
278;10.08.2019 12:45;22757706;22692600;22819800
279;10.08.2019 13:00;22893542;22827000;22957800
280;10.08.2019 13:15;23027932;22959600;23091000
281;10.08.2019 13:30;23159004;23095800;23228400
282;10.08.2019 13:45;23296570;23230800;23361600
283;10.08.2019 14:00;23429586;23366400;23498400
284;10.08.2019 14:15;23567586;23500800;23632200
285;10.08.2019 14:30;23699138;23634600;23764800
286;10.08.2019 14:45;23832104;23767200;23898000
287;10.08.2019 15:00;23967774;23902200;24030000
288;10.08.2019 15:15;24097706;24034800;24167400
289;10.08.2019 15:30;24234476;24169800;24298800
290;10.08.2019 15:45;24361846;24301200;24427800
291;10.08.2019 16:00;24497120;24432000;24559200
292;10.08.2019 16:15;24625734;24563400;24692400
293;10.08.2019 16:30;24758010;24694800;24821400
294;10.08.2019 16:45;24887796;24823800;24951000
295;10.08.2019 17:00;25020062;24953400;25085400
296;10.08.2019 17:15;25152490;25087800;25216200
297;10.08.2019 17:30;25282132;25218000;25345200
298;10.08.2019 17:45;25411524;25347000;25476000
299;10.08.2019 18:00;25540738;25476000;25605600
300;10.08.2019 18:15;25672838;25608000;25734600
301;10.08.2019 18:30;25799594;25737000;25863000
302;10.08.2019 18:45;25929102;25867200;25993200
303;10.08.2019 19:00;26056672;25995600;26119200
304;10.08.2019 19:15;26186458;26123400;26250000
305;10.08.2019 19:30;26317096;26252400;26379600
306;10.08.2019 19:45;26443024;26382000;26506200
307;10.08.2019 20:00;26570660;26508000;26631600
308;10.08.2019 20:15;26694514;26633400;26755800
309;10.08.2019 20:30;26820810;26760600;26881200
310;10.08.2019 20:45;26944144;26883600;27005400
311;10.08.2019 21:00;27068678;27007800;27130200
312;10.08.2019 21:15;27193428;27132600;27252000
313;10.08.2019 21:30;27315286;27254400;27374400
314;10.08.2019 21:45;27436972;27376800;27494400
315;10.08.2019 22:00;27556358;27496200;27615600
316;10.08.2019 22:15;27676564;27618000;27736200
317;10.08.2019 22:30;27799388;27738600;27858600
318;10.08.2019 22:45;27916288;27860400;27975000
319;10.08.2019 23:00;28029276;27977400;28078800
320;10.08.2019 23:15;28117978;28080600;28151400
321;10.08.2019 23:30;28184756;28152600;28216200
322;10.08.2019 23:45;28245720;28217400;28275000
323;11.08.2019 00:00;28302464;28275600;28327800
324;11.08.2019 00:15;28352974;28329000;28375800
325;11.08.2019 00:30;28395642;28376400;28415400
326;11.08.2019 00:45;28435042;28416000;28454400
327;11.08.2019 01:00;28474486;28455000;28493400
328;11.08.2019 01:15;28513070;28494000;28530600
329;11.08.2019 01:30;28549366;28531200;28567200
330;11.08.2019 01:45;28583714;28567800;28599000
331;11.08.2019 02:00;28614768;28599600;28629000
332;11.08.2019 02:15;28643880;28629600;28659000
333;11.08.2019 02:30;28674582;28659600;28689600
334;11.08.2019 02:45;28704996;28690200;28719600
335;11.08.2019 03:00;28734546;28720200;28749000
336;11.08.2019 03:15;28764750;28749600;28779600
337;11.08.2019 03:30;28794926;28780200;28809600
338;11.08.2019 03:45;28824750;28810800;28839600
339;11.08.2019 04:00;28854402;28840200;28869000
340;11.08.2019 04:15;28883954;28869600;28899000
341;11.08.2019 04:30;28913164;28899000;28928400
342;11.08.2019 04:45;28942922;28928400;28957200
343;11.08.2019 05:00;28972988;28957800;28987200
344;11.08.2019 05:15;29002240;28987800;29017200
345;11.08.2019 05:30;29032506;29017800;29047800
346;11.08.2019 05:45;29063700;29049000;29077800
347;11.08.2019 06:00;29093828;29079000;29108400
348;11.08.2019 06:15;29124042;29110200;29138400
349;11.08.2019 06:30;29153184;29139000;29167800
350;11.08.2019 06:45;29182734;29168400;29196000
351;11.08.2019 07:00;29210602;29196600;29223600
352;11.08.2019 07:15;29238094;29224200;29251200
353;11.08.2019 07:30;29264616;29251800;29277600
354;11.08.2019 07:45;29291916;29278200;29305200
355;11.08.2019 08:00;29318848;29305200;29332200
356;11.08.2019 08:15;29345452;29332800;29357400
357;11.08.2019 08:30;29370978;29358000;29384400
358;11.08.2019 08:45;29397852;29384400;29410800
359;11.08.2019 09:00;29425372;29411400;29438400
360;11.08.2019 09:15;29452116;29439000;29464800
361;11.08.2019 09:30;29479350;29465400;29492400
362;11.08.2019 09:45;29507102;29493600;29520000
363;11.08.2019 10:00;29534528;29520600;29548200
364;11.08.2019 10:15;29565512;29548800;29583600
365;11.08.2019 10:30;29602232;29584200;29620200
366;11.08.2019 10:45;29638732;29620800;29657400
367;11.08.2019 11:00;29677274;29658000;29695800
368;11.08.2019 11:15;29715016;29695800;29733600
369;11.08.2019 11:30;29754542;29734200;29773800
370;11.08.2019 11:45;29792326;29774400;29810400
371;11.08.2019 12:00;29831138;29811000;29853000
372;11.08.2019 12:15;29876138;29853600;29898000
373;11.08.2019 12:30;29922722;29898600;29947200
374;11.08.2019 12:45;29977022;29947800;30007200
375;11.08.2019 13:00;30044570;30008400;30083400
376;11.08.2019 13:15;30127608;30083400;30178200
377;11.08.2019 13:30;30233904;30180000;30287400
378;11.08.2019 13:45;30342050;30289200;30397800
379;11.08.2019 14:00;30457976;30402000;30516600
380;11.08.2019 14:15;30575980;30518400;30636000
